"Customers","Klienci"
"All Customers","Wszyscy Klienci"
"Now Online","Obecnie Online"
"Login as Customer Log","Logi logowania jako użytkownik"
"Customer Groups","Grupy użytkowników"
"Item ID is required.","Wymagane jest ID elementu."
"Item with that ID does not exist.","Element z takim ID nie istnieje."
"Hello, authenticated user!","Witaj, zalogowany użytkowniku!"
"Additional content under product price.","Dodatkowa zawartość pod ceną produktu."
"I consent to the processing of personal information and the IP address of the device I am using.","Wyrażam zgodę na przesłanie i przetwarzanie informacji osobowych oraz adresu IP urządzenia, z którego korzystam."
"You must indicate your consent to the processing of personal data.","Musisz zaznaczyć zgodę na przetwarzanie danych osobowych."
"Thank you for submitting the form.","Dziękujemy za przesłanie formularza."
"An error occurred while processing the form. Please try again.","Wystąpił błąd podczas przetwarzania formularza. Proszę spróbować ponownie."
"There was an error while saving the data. Please try again.","Wystąpił błąd podczas zapisywania danych. Proszę spróbować ponownie."
"Guestbook Entries","Wpisy w księdze gości"
"Guestbook Design Settings","Ustawienia wyglądu księgi gości"
"Guestbook Design","Wygląd księgi gości"
"Header Text","Tekst nagłówka"
"Enter the text for the header","Wprowadź tekst nagłówka"
"Button Color","Kolor przycisków"
"Pick a color from the color picker","Wybierz kolor z menu wybierania kolorów"
"Form Background Color","Kolor tła formularza"
"First Name Label","Etykieta imienia"
"Enter the label text for the first name input","Wprowadź tekst etykiety imienia"
"Last Name Label","Etykieta nazwiska"
"Enter the label text for the last name input","Wprowadź tekst etykiety nazwiska"
"Email Label","Etykieta email"
"Enter the label text for the email input","Wprowadź tekst etykiety email"
"Consent Label","Etykieta zgody prawnej"
"Enter the consent text for the checkbox","Wprowadź tekst zgody obok checkboxa"
"Submit","Wyślij"
"Reset","Zresetuj"
"Unable to find guestbook entry with ID","Nie znaleziono wpisu o ID"
"Guestbook entry already exists:","Taki sam wpis już istnieje:"
"There was an error while saving the guestbook entry:","Wystąpił błąd podczas zapisywania wpisu"
"cannot be empty","nie może być puste"
"cannot be longer than characters","nie może być dłuższe niż"
"Invalid email format","Nieprawidłowy email"
"ID must be provided.","ID musi zostać podane"
"Guestbook entry with this ID does not exist","Wpis do księgi gości o tym ID nie istnieje"
"Unable to retrieve guestbook entry","Nie udało się pobrać wpisu"
"Error retrieving guestbook entries:","Nie udało się pobrać wpisów"
"An error occurred while processing your request:","Wystąpił błąd podczas przetwarzania twojego zapytania"
"Unable to add guestbook entry:","Nie udało się dodać wpisu"
"First name is required","Imię jest wymagane"
"Last name is required","Nazwisko jest wymagane"
"Email is required","Email jest wymagany"
"Ordered products:", "Zamówione produkty:"
"Product SKUs","SKU produktów"
